Age,Income,Debt,Credit_Utilization,Loan_Amount,Loan_Duration,Previous_Defaults,Payment_History,Employment_Length,Num_Credit_Cards,Monthly_Expenses,Existing_Loans,Credit_History_Length,Savings,Creditworthy
56,37952.26,22111.52,0.4033,30781.1,12,0,65.3,9.4,6,1481.76,2,28.4,7323.26,1
69,64507.31,17827.15,0.6367,35290.95,60,0,78.26,8.6,8,2018.19,3,39.1,12917.37,1
46,67649.08,19797.15,0.4738,21530.82,60,2,61.75,3.0,2,2854.13,3,17.6,2547.64,1
32,45516.44,25173.57,0.0308,17393.83,24,0,62.54,2.1,2,1747.16,4,4.4,5595.76,1
60,39564.56,13800.27,0.8081,5563.06,60,0,65.02,3.5,6,1865.93,3,27.4,44.6,1
25,87190.41,6076.64,0.1209,21080.69,48,0,70.43,1.3,3,3932.06,1,4.2,11096.14,1
38,59549.92,25409.04,0.4648,40749.23,24,0,89.97,0.0,3,3190.81,2,5.0,3848.82,1
56,67719.36,10761.77,0.5783,32901.93,12,0,61.92,2.2,8,2072.87,4,6.0,30802.3475,1
36,38558.48,9477.3,0.7014,21748.58,48,1,99.35,0.1,3,2140.57,2,4.2,6139.99,1
40,30614.31,630.42,0.4126,23033.78,36,1,70.95,0.2,6,990.4,1,15.5,11830.39,1
28,43611.0,19570.26,0.7308,13114.84,12,0,72.81,0.1,1,2137.96,4,2.1,1915.71,1
28,52519.57,2028.38,0.1387,16428.64,60,0,69.92,10.6,3,2185.24,1,6.5,16405.1,1
41,33715.6,8997.93,0.6504,21475.99,12,0,84.1,0.8,5,1632.58,3,7.4,151.16,1
53,54803.1,19705.89,0.8198,21506.34,60,0,60.78,1.5,4,2349.71,1,21.2,552.45,1
57,21229.9,20775.37,0.8817,30107.5,48,0,63.74,3.4,8,992.44,3,28.5,15011.83,0
41,32599.05,9786.37,0.578,29620.83,48,0,63.95,3.8,5,1632.15,0,15.0,5184.43,1
20,68418.22,13926.77,0.3166,25205.67,48,0,86.58,0.7,1,2150.89,4,1.0,552.23,1
39,67075.81,8019.24,0.1701,10008.54,24,0,73.18,12.0,1,2442.34,4,2.2,4970.76,1
19,47162.46,10612.83,0.3486,10385.85,60,0,77.5,1.3,3,2542.42,0,0.2,1754.41,1
41,34644.71,17129.72,0.5392,11121.09,12,0,98.0,14.3,5,1831.68,2,14.9,6305.6,1
61,34451.93,10986.83,0.2024,22355.2,12,0,68.0,1.5,3,1643.47,2,7.2,30802.3475,1
47,47534.64,13046.28,0.9435,2000.0,12,0,62.81,0.0,5,1672.14,3,22.7,126.42,1
55,67890.37,3282.35,0.8892,19937.25,24,0,77.66,17.9,1,2164.04,4,28.8,15091.61,1
19,73564.91,24063.65,0.0423,34086.43,24,0,66.56,3.3,1,1958.14,0,0.3,4578.61,1
38,45069.37,19080.53,0.5607,26668.26,60,0,65.79,10.5,7,2529.98,3,2.5,15343.44,1
50,31930.15,21343.24,0.7835,16492.72,24,0,76.41,6.6,5,1475.0,3,19.9,5912.61,1
29,60356.87,25323.4,0.2505,13017.45,48,0,86.79,1.0,2,2340.07,0,2.6,13904.45,1
39,38529.3,8398.3,0.5234,28057.15,12,1,69.71,9.3,9,1849.56,4,12.9,7981.91,1
