Age,Income,Debt,Credit_Utilization,Loan_Amount,Loan_Duration,Previous_Defaults,Payment_History,Employment_Length,Num_Credit_Cards,Monthly_Expenses,Existing_Loans,Credit_History_Length,Savings,Creditworthy,DTI_Ratio,Savings_to_Income,Expense_to_Income,Risk_Flag_Count
56,37952.26,22111.52,0.4033,30781.1,12,0,65.3,9.4,6,1481.76,2,28.4,7323.26,1,0.5826140524811272,0.19295978684291898,0.46851281055545796,0
69,64507.31,17827.15,0.6367,35290.95,60,0,78.26,8.6,8,2018.19,3,39.1,12917.37,1,0.27635860183479427,0.2002466077069367,0.37543466003503423,0
46,67649.08,19797.15,0.4738,21530.82,60,2,61.75,3.0,2,2854.13,3,17.6,2547.64,1,0.2926447780177847,0.037659640012286055,0.5062827166236956,1
32,45516.44,25173.57,0.0308,17393.83,24,0,62.54,2.1,2,1747.16,4,4.4,5595.76,1,0.5530654418369919,0.12293931598949875,0.46062301883757556,0
60,39564.56,13800.27,0.8081,5563.06,60,0,65.02,3.5,6,1865.93,3,27.4,44.6,1,0.3488038284679824,0.0011272714772734168,0.5659398208759067,1
25,87190.41,6076.64,0.1209,21080.69,48,0,70.43,1.3,3,3932.06,1,4.2,11096.14,1,0.06969390326218568,0.12726330797013957,0.5411686904495441,0
38,59549.92,25409.04,0.4648,40749.23,24,0,89.97,0.0,3,3190.81,2,5.0,3848.82,1,0.42668470418723176,0.0646318248611479,0.6429852466528422,0
56,67719.36,10761.77,0.5783,32901.93,12,0,61.92,2.2,8,2072.87,4,6.0,30802.3475,1,0.15891718409389993,0.45485290321032495,0.36731652513598306,0
36,38558.48,9477.3,0.7014,21748.58,48,1,99.35,0.1,3,2140.57,2,4.2,6139.99,1,0.2457902904822547,0.15923838283668756,0.6661787497674655,1
40,30614.31,630.42,0.4126,23033.78,36,1,70.95,0.2,6,990.4,1,15.5,11830.39,1,0.020592330840688802,0.38643333786107104,0.38821061129948015,1
28,43611.0,19570.26,0.7308,13114.84,12,0,72.81,0.1,1,2137.96,4,2.1,1915.71,1,0.44874595857813976,0.04392722019573211,0.5882809382818949,0
28,52519.57,2028.38,0.1387,16428.64,60,0,69.92,10.6,3,2185.24,1,6.5,16405.1,1,0.03862141293162489,0.3123616587052719,0.49929730954576934,0
41,33715.6,8997.93,0.6504,21475.99,12,0,84.1,0.8,5,1632.58,3,7.4,151.16,1,0.26687735053604633,0.004483384545893195,0.5810651449008452,0
53,54803.1,19705.89,0.8198,21506.34,60,0,60.78,1.5,4,2349.71,1,21.2,552.45,1,0.35957619185119866,0.010080634124527981,0.5145059312244288,1
57,21229.9,20775.37,0.8817,30107.5,48,0,63.74,3.4,8,992.44,3,28.5,15011.83,0,0.9785901016500976,0.7071078996741808,0.5609673149397327,1
41,32599.05,9786.37,0.578,29620.83,48,0,63.95,3.8,5,1632.15,0,15.0,5184.43,1,0.3002041470441561,0.1590362295784989,0.6008089192598923,0
20,68418.22,13926.77,0.3166,25205.67,48,0,86.58,0.7,1,2150.89,4,1.0,552.23,1,0.2035535271130475,0.008071388001499143,0.3772486334725276,0
39,67075.81,8019.24,0.1701,10008.54,24,0,73.18,12.0,1,2442.34,4,2.2,4970.76,1,0.11955487380443779,0.0741065966989574,0.43693963590693974,0
19,47162.46,10612.83,0.3486,10385.85,60,0,77.5,1.3,3,2542.42,0,0.2,1754.41,1,0.2250270660134135,0.037199289434071095,0.646892464883153,0
41,34644.71,17129.72,0.5392,11121.09,12,0,98.0,14.3,5,1831.68,2,14.9,6305.6,1,0.4944396994376793,0.18200758499112832,0.6344449123507039,0
61,34451.93,10986.83,0.2024,22355.2,12,0,68.0,1.5,3,1643.47,2,7.2,30802.3475,1,0.3189031789998731,0.8940674005521877,0.572439337924684,0
47,47534.64,13046.28,0.9435,2000.0,12,0,62.81,0.0,5,1672.14,3,22.7,126.42,1,0.27445837392952893,0.0026595341838570874,0.4221275263592587,1
55,67890.37,3282.35,0.8892,19937.25,24,0,77.66,17.9,1,2164.04,4,28.8,15091.61,1,0.04834779954729445,0.22229382458480798,0.38250609032794336,1
19,73564.91,24063.65,0.0423,34086.43,24,0,66.56,3.3,1,1958.14,0,0.3,4578.61,1,0.32710772023880536,0.06223904848028443,0.31941424246533556,0
38,45069.37,19080.53,0.5607,26668.26,60,0,65.79,10.5,7,2529.98,3,2.5,15343.44,1,0.423359146124666,0.34044052534258984,0.673622906184985,0
50,31930.15,21343.24,0.7835,16492.72,24,0,76.41,6.6,5,1475.0,3,19.9,5912.61,1,0.6684353189487542,0.18517326100299641,0.5543350093703181,0
29,60356.87,25323.4,0.2505,13017.45,48,0,86.79,1.0,2,2340.07,0,2.6,13904.45,1,0.419561186648354,0.23037062723381166,0.4652467896286662,0
39,38529.3,8398.3,0.5234,28057.15,12,1,69.71,9.3,9,1849.56,4,12.9,7981.91,1,0.2179717773170555,0.2071646772662061,0.5760478389024444,1
61,44634.95,12132.84,0.4079,23060.55,48,0,95.04,0.3,9,1797.27,1,14.4,13663.48,1,0.2718237614185336,0.3061161712894018,0.48319175891351523,0
42,81505.52,0.0,0.2026,17535.68,24,1,74.5,3.5,9,2990.38,1,8.7,7197.4,1,0.0,0.0883056754918157,0.4402715300701072,1
66,71542.31,36696.87,0.6124,14109.69,12,0,97.36,1.5,4,2983.68,1,25.0,11105.97,1,0.512939406058975,0.1552363908831678,0.5004613353901983,0
44,58159.49,13803.32,0.9838,20763.83,36,0,79.7,2.2,4,2882.0,3,5.6,6158.53,1,0.2373356437575822,0.10589037145776398,0.5946407026506828,1
59,29561.62,23309.82,0.368,16969.63,48,1,89.07,7.1,9,1564.51,3,31.9,2685.82,1,0.7885163262098452,0.09085496667331308,0.6350842747916019,1
45,59227.93,5094.71,0.5513,27843.8,36,0,93.96,5.8,1,1677.32,2,3.5,14157.65,1,0.08601870772647265,0.23903671797682213,0.3398369654259428,0
33,76253.15,22971.11,0.3313,32411.69,60,0,81.19,2.9,8,2071.17,3,11.5,6909.56,1,0.30124801401251955,0.09061343695190806,0.3259411578364181,0
32,47487.33,29860.73,0.8694,6327.5,48,1,94.01,0.2,1,1725.83,2,4.3,4968.52,1,0.6288146753959674,0.10462832928057593,0.43611548595307176,2
64,82022.28,14517.75,0.8573,7741.8,12,0,75.12,0.2,7,2157.49,0,26.1,30802.3475,1,0.17699764015122482,0.3755363481681376,0.3156444809835127,1
68,80854.91,6912.95,0.1852,33480.56,12,0,74.54,6.1,6,3355.0,0,39.9,548.47,1,0.0854982090749282,0.006783385201878484,0.4979289445687599,0
61,88274.66,13889.63,0.8919,21658.19,36,0,91.76,14.9,8,4631.32,4,11.4,12916.75,1,0.15734560744660647,0.1463245511209409,0.6295786355831948,1
69,61104.86,0.0,0.1585,8683.49,12,0,69.65,9.4,5,2235.81,4,22.1,5348.32,1,0.0,0.08752691684282515,0.4390766953653265,0
20,66747.83,14696.91,0.1035,29832.52,48,0,88.68,0.7,8,2727.37,3,0.2,4048.51,1,0.22018558505617059,0.06065380702173159,0.49032964816248964,0
54,83283.75,21567.74,0.6499,23416.85,24,0,63.08,0.6,6,3676.54,4,9.0,22556.62,1,0.2589669653412705,0.2708405901478879,0.5297369534809643,0
68,63947.88,14713.94,0.3882,42032.46,24,1,85.43,4.7,9,3546.27,2,9.9,14956.47,1,0.23009269423427187,0.23388531409901492,0.6654675651379612,1
24,44975.32,12726.88,0.5301,17646.98,12,2,97.68,5.4,3,2513.57,0,3.8,207.29,1,0.28297475147963425,0.004608972209544947,0.6706531493123196,1
38,46029.14,19220.54,0.6495,31087.04,60,1,78.26,4.8,4,2120.19,2,11.7,13311.52,1,0.4175733024684456,0.28919766912244727,0.5527428928597679,1
26,59771.1,19832.2,0.0618,5511.66,48,1,76.64,10.8,7,1514.58,2,3.5,83.07,1,0.3318024931725901,0.0013898020949691438,0.30407605012616334,1
56,29188.77,1720.76,0.2971,33960.28,60,1,81.62,1.3,2,914.2,1,3.8,485.02,1,0.0589528095887921,0.01661666455912268,0.37584317529050243,1
35,52134.82,15710.58,0.4617,29441.6,36,0,88.78,0.9,6,1653.86,4,4.1,2939.11,1,0.3013452429623552,0.05637518265035968,0.3806730319509941,0
21,76930.94,34487.88,0.2713,36043.47,12,0,74.35,12.3,8,3459.21,2,1.7,30802.3475,1,0.4482966151141752,0.4003895896709388,0.5395816039614286,0
42,12000.0,4319.87,0.058,31105.8,36,1,60.01,6.4,3,583.04,1,2.6,4963.9,1,0.3599891666366675,0.41365833329886176,0.5830399999514133,1
31,85689.64,14316.65,0.0949,19009.52,60,0,80.08,6.2,1,2396.37,3,6.6,8421.42,1,0.16707562314222496,0.09827815824528756,0.335588292816546,0
67,77447.48,30533.97,0.7957,8288.73,48,0,76.77,2.0,5,2683.98,1,10.4,15199.87,1,0.3942538866287935,0.19626035604778544,0.415865822872276,0
26,45804.71,23833.4,0.9032,13979.47,60,0,81.31,4.9,4,1919.44,0,4.1,3037.08,1,0.5203264031030799,0.06630497169251143,0.5028583304969542,1
43,65867.82,10892.83,0.1592,2388.5,24,0,88.61,6.5,3,3340.31,1,16.3,27945.18,1,0.16537407796150877,0.4242614982487008,0.6085478462683516,0
19,55062.95,16649.08,0.2543,10791.01,60,0,71.34,4.6,6,2008.78,3,0.7,6189.57,1,0.3023644755629264,0.11240897917542723,0.4377782156524891,0
